"player_name"	"plate_x"	"plate_z"	"pitch_type"	"events"	"description"	"launch_angle"	"launch_speed"	"hc_x"	"hc_y"	"balls"	"strikes"	"type"	"game_year"	"stand"	"woba_value"	"p_throws"	"estimated_ba_using_speedangle"	"estimated_woba_using_speedangle"
"Jose Martinez"	0.6416	2.0298	"SL"	NA	"foul"	NA	NA	NA	NA	2	0	"S"	2019	"R"	NA	"R"	NA	NA
"Jose Martinez"	1.1878	0.9175	"SL"	NA	"ball"	NA	NA	NA	NA	1	0	"B"	2019	"R"	NA	"R"	NA	NA
"Jose Martinez"	0.5379	1.0293	"SL"	NA	"ball"	NA	NA	NA	NA	0	0	"B"	2019	"R"	NA	"R"	NA	NA
"Matt Chapman"	-1.2166	2.2277	"FF"	"single"	"hit_into_play_score"	21	75.7	101.35	99.47	1	1	"X"	2019	"R"	0.9	"R"	0.924	0.865
"Matt Chapman"	-0.2091	2.513	"SL"	NA	"called_strike"	NA	NA	NA	NA	1	0	"S"	2019	"R"	NA	"R"	NA	NA
"Matt Chapman"	-1.0275	4.496	"SL"	NA	"ball"	NA	NA	NA	NA	0	0	"B"	2019	"R"	NA	"R"	NA	NA
"Nolan Arenado"	0.8934	1.9285	"FF"	"field_out"	"hit_into_play"	34	81	173.96	92.77	1	1	"X"	2019	"R"	0	"R"	0.024	0.034
"Nolan Arenado"	0.3452	2.372	"FF"	NA	"called_strike"	NA	NA	NA	NA	1	0	"S"	2019	"R"	NA	"R"	NA	NA
"Nolan Arenado"	1.1069	1.7137	"SL"	NA	"ball"	NA	NA	NA	NA	0	0	"B"	2019	"R"	NA	"R"	NA	NA
"Miguel Cabrera"	0.6416	2.4654	"SL"	"field_out"	"hit_into_play"	59	90.7	174.99	128.18	0	0	"X"	2019	"R"	0	"R"	0.016	0.014
"Joe Panik"	1.0012	3.2191	"FF"	"walk"	"ball"	NA	NA	NA	NA	3	2	"B"	2019	"L"	0.7	"R"	NA	NA
"Joe Panik"	-0.7607	2.0786	"FF"	NA	"foul"	NA	NA	NA	NA	3	2	"S"	2019	"L"	NA	"R"	NA	NA
"Joe Panik"	-0.3233	2.3832	"FF"	NA	"foul"	45	84.2	NA	NA	3	2	"S"	2019	"L"	NA	"R"	NA	NA
"Joe Panik"	0.8419	2.4551	"FF"	NA	"foul"	19	92	NA	NA	3	1	"S"	2019	"L"	NA	"R"	NA	NA
"Joe Panik"	-1.4602	2.1694	"FF"	NA	"ball"	NA	NA	NA	NA	2	1	"B"	2019	"L"	NA	"R"	NA	NA
"Joe Panik"	0.818	1.3479	"CH"	NA	"ball"	NA	NA	NA	NA	1	1	"B"	2019	"L"	NA	"R"	NA	NA
"Joe Panik"	0.0279	0.5994	"CH"	NA	"ball"	NA	NA	NA	NA	0	1	"B"	2019	"L"	NA	"R"	NA	NA
"Joe Panik"	-0.3699	2.4948	"CU"	NA	"called_strike"	NA	NA	NA	NA	0	0	"S"	2019	"L"	NA	"R"	NA	NA
"Matt Chapman"	-0.1174	5.1789	"FF"	"walk"	"ball"	NA	NA	NA	NA	3	0	"B"	2019	"R"	0.7	"L"	NA	NA
"Lorenzo Cain"	-1.0978	2.616	"FF"	"double"	"hit_into_play_no_out"	-12	82	39.36	112.47	1	1	"X"	2019	"R"	1.25	"R"	0.108	0.101
"Matt Chapman"	-0.8989	3.3374	"CU"	NA	"ball"	NA	NA	NA	NA	2	0	"B"	2019	"R"	NA	"L"	NA	NA
"Matt Chapman"	1.6976	3.0883	"CH"	NA	"ball"	NA	NA	NA	NA	1	0	"B"	2019	"R"	NA	"L"	NA	NA
"Lorenzo Cain"	-0.3226	3.6008	"FF"	NA	"foul"	-30	53.9	NA	NA	1	0	"S"	2019	"R"	NA	"R"	NA	NA
"Miguel Cabrera"	0.2071	3.0494	"FF"	"field_out"	"hit_into_play"	36	102.2	190.77	54.9	2	1	"X"	2019	"R"	0	"R"	0.453	0.861
"Lorenzo Cain"	1.8519	1.5537	"CU"	NA	"ball"	NA	NA	NA	NA	0	0	"B"	2019	"R"	NA	"R"	NA	NA
"Matt Chapman"	0.36	5.4098	"FF"	NA	"ball"	NA	NA	NA	NA	0	0	"B"	2019	"R"	NA	"L"	NA	NA
"Miguel Cabrera"	1.2401	0.119	"SL"	NA	"ball"	NA	NA	NA	NA	1	1	"B"	2019	"R"	NA	"R"	NA	NA
"Miguel Cabrera"	1.3822	1.0525	"SL"	NA	"ball"	NA	NA	NA	NA	0	1	"B"	2019	"R"	NA	"R"	NA	NA
"Miguel Cabrera"	0.3197	2.3947	"SL"	NA	"called_strike"	NA	NA	NA	NA	0	0	"S"	2019	"R"	NA	"R"	NA	NA
"Jose Martinez"	0.401	1.8337	"SL"	"strikeout"	"swinging_strike"	NA	NA	NA	NA	1	2	"S"	2019	"R"	0	"R"	NA	NA
"Jose Martinez"	-0.0765	3.1603	"FF"	NA	"foul"	-46	78.2	NA	NA	1	2	"S"	2019	"R"	NA	"R"	NA	NA
"Jose Martinez"	0.5887	1.9345	"FF"	NA	"foul"	-68	79.7	NA	NA	1	2	"S"	2019	"R"	NA	"R"	NA	NA
"Jose Martinez"	-0.5624	1.6094	"FF"	NA	"ball"	NA	NA	NA	NA	0	2	"B"	2019	"R"	NA	"R"	NA	NA
"Manny Machado"	-0.2582	1.8383	"FT"	"field_out"	"hit_into_play"	30	93	177.96	71.32	0	1	"X"	2019	"R"	0	"R"	0.15	0.255
"Manny Machado"	-1.3661	2.2933	"FT"	NA	"foul"	-1	106.9	NA	NA	0	0	"S"	2019	"R"	NA	"R"	NA	NA
"Jose Martinez"	0.5874	2.6969	"FF"	NA	"foul"	39	71.2	NA	NA	0	1	"S"	2019	"R"	NA	"R"	NA	NA
"Jose Martinez"	-0.3467	1.9555	"FF"	NA	"called_strike"	NA	NA	NA	NA	0	0	"S"	2019	"R"	NA	"R"	NA	NA
"Nolan Arenado"	-0.922	3.4561	"FF"	"field_out"	"hit_into_play"	69	80	93.99	205.95	1	2	"X"	2019	"R"	0	"R"	0	0
"Nolan Arenado"	-0.8286	2.563	"SI"	NA	"foul"	-12	98.3	NA	NA	1	1	"S"	2019	"R"	NA	"R"	NA	NA
"Nolan Arenado"	0.8194	1.3502	"SL"	NA	"ball"	NA	NA	NA	NA	0	1	"B"	2019	"R"	NA	"R"	NA	NA
"Nolan Arenado"	-0.4278	3.1972	"SL"	NA	"called_strike"	NA	NA	NA	NA	0	0	"S"	2019	"R"	NA	"R"	NA	NA
"Manny Machado"	0.7268	3.1774	"FC"	"field_out"	"hit_into_play"	-1	83.2	114.54	159.46	0	1	"X"	2019	"R"	0	"R"	0.2	0.197
"Lorenzo Cain"	1.0627	2.0042	"FC"	"field_out"	"hit_into_play"	-57	64.5	111.78	178.76	1	2	"X"	2019	"R"	0	"R"	0.21	0.192
"Lorenzo Cain"	-1.0498	2.7816	"CH"	NA	"foul"	28	94	NA	NA	1	1	"S"	2019	"R"	NA	"R"	NA	NA
"Manny Machado"	0.0632	3.1284	"FT"	NA	"called_strike"	NA	NA	NA	NA	0	0	"S"	2019	"R"	NA	"R"	NA	NA
"Lorenzo Cain"	-0.7823	2.2859	"FF"	NA	"called_strike"	NA	NA	NA	NA	1	0	"S"	2019	"R"	NA	"R"	NA	NA
"Lorenzo Cain"	1.1122	3.0229	"FF"	NA	"ball"	NA	NA	NA	NA	0	0	"B"	2019	"R"	NA	"R"	NA	NA
"Matt Chapman"	-0.2552	3.2854	"FF"	"field_out"	"hit_into_play"	52	87.1	171.69	107.65	1	1	"X"	2019	"R"	0	"L"	0.016	0.014
"Matt Chapman"	-0.1952	1.9455	"CU"	NA	"called_strike"	NA	NA	NA	NA	1	0	"S"	2019	"R"	NA	"L"	NA	NA
"Matt Chapman"	1.7179	3.4939	"CU"	NA	"ball"	NA	NA	NA	NA	0	0	"B"	2019	"R"	NA	"L"	NA	NA
"Jose Martinez"	0.9747	1.6355	"SL"	"strikeout"	"swinging_strike"	NA	NA	NA	NA	1	2	"S"	2019	"R"	0	"R"	NA	NA
"Jose Martinez"	0.4411	3.0727	"FF"	NA	"foul"	NA	NA	NA	NA	1	1	"S"	2019	"R"	NA	"R"	NA	NA
"Miguel Cabrera"	1.8306	0.1749	"SL"	"strikeout"	"swinging_strike_blocked"	NA	NA	NA	NA	2	2	"S"	2019	"R"	0	"R"	NA	NA
"Jose Martinez"	0.888	1.6115	"SL"	NA	"ball"	NA	NA	NA	NA	0	1	"B"	2019	"R"	NA	"R"	NA	NA
"Jose Martinez"	0.4567	2.0882	"FF"	NA	"called_strike"	NA	NA	NA	NA	0	0	"S"	2019	"R"	NA	"R"	NA	NA
"Miguel Cabrera"	-0.58	2.6598	"FF"	NA	"foul"	45	88.4	NA	NA	2	1	"S"	2019	"R"	NA	"R"	NA	NA
"Miguel Cabrera"	0.2299	2.5273	"FF"	NA	"foul"	NA	NA	NA	NA	2	0	"S"	2019	"R"	NA	"R"	NA	NA
"Miguel Cabrera"	1.6599	1.6551	"FC"	NA	"ball"	NA	NA	NA	NA	1	0	"B"	2019	"R"	NA	"R"	NA	NA
"Miguel Cabrera"	1.4253	0.5817	"SL"	NA	"blocked_ball"	NA	NA	NA	NA	0	0	"B"	2019	"R"	NA	"R"	NA	NA
"Nolan Arenado"	0.2887	2.412	"SL"	"grounded_into_double_play"	"hit_into_play"	4	90.2	101.86	169.6	1	0	"X"	2019	"R"	0	"R"	0.474	0.451
"Joe Panik"	0.5494	1.9695	"CH"	"field_out"	"hit_into_play"	28	39.7	106.41	175.06	2	2	"X"	2019	"L"	0	"R"	0.166	0.136
"Nolan Arenado"	1.0863	1.6177	"FF"	NA	"ball"	NA	NA	NA	NA	0	0	"B"	2019	"R"	NA	"R"	NA	NA
"Joe Panik"	-0.5273	3.3112	"FF"	NA	"foul"	23	75.2	NA	NA	2	1	"S"	2019	"L"	NA	"R"	NA	NA
"Joe Panik"	-0.3115	2.4621	"FF"	NA	"foul"	NA	NA	NA	NA	2	0	"S"	2019	"L"	NA	"R"	NA	NA
